央视,#genre#
CCTV1,http://1.24.39.180:808/hls/1/index.m3u8
CCTV2,http://1.24.39.180:808/hls/2/index.m3u8
CCTV3,http://1.24.39.180:808/hls/3/index.m3u8
CCTV4,http://1.24.39.180:808/hls/4/index.m3u8
CCTV5,http://1.24.39.180:808/hls/5/index.m3u8
CCTV5+,http://223.112.114.228:50080/newlive/live/hls/180/live.m3u8
CCTV6,http://1.24.39.180:808/hls/6/index.m3u8
CCTV7,http://1.24.39.180:808/hls/7/index.m3u8
CCTV8,http://1.24.39.180:808/hls/8/index.m3u8
CCTV9,http://1.24.39.180:808/hls/9/index.m3u8
CCTV10,http://1.24.39.180:808/hls/10/index.m3u8
CCTV11,http://1.24.39.180:808/hls/11/index.m3u8
CCTV12,http://1.24.39.180:808/hls/12/index.m3u8
CCTV13,http://1.24.39.180:808/hls/13/index.m3u8
CCTV14,http://1.24.39.180:808/hls/14/index.m3u8
CCTV15,http://1.24.39.180:808/hls/15/index.m3u8
CCTV16,http://1.24.39.180:808/hls/60/index.m3u8
CCTV17,http://1.24.39.180:808/hls/61/index.m3u8

CCTV1,http://113.195.172.192:1808/hls/158/index.m3u8
CCTV2,http://113.195.172.192:1808/hls/159/index.m3u8
CCTV3,http://113.195.172.192:1808/hls/160/index.m3u8
CCTV4,http://113.195.172.192:1808/hls/161/index.m3u8
CCTV5,http://113.195.172.192:1808/hls/162/index.m3u8
CCTV5+,http://113.195.172.192:1808/hls/163/index.m3u8
CCTV6,http://113.195.172.192:1808/hls/165/index.m3u8
CCTV7,http://113.195.172.192:1808/hls/166/index.m3u8
CCTV8,http://113.195.172.192:1808/hls/167/index.m3u8
CCTV9,http://113.195.172.192:1808/hls/168/index.m3u8
CCTV10,http://113.195.172.192:1808/hls/169/index.m3u8
CCTV11,http://113.195.172.192:1808/hls/170/index.m3u8
CCTV12,http://113.195.172.192:1808/hls/171/index.m3u8
CCTV13,http://113.195.172.192:1808/hls/172/index.m3u8
